Variable,Data_Type
InvoiceID,numeric
Date,Date
ClientID,numeric
ClientName,character
Industry,character
Region,character
ServiceType,character
SubscriptionType,character
ContractLengthMonths,numeric
AccountManager,character
Revenue,numeric
Expenses,numeric
Profit,numeric
ProfitMargin,numeric
BillingCycleMonths,numeric
MRR,numeric
RetentionFlag,numeric
ChurnRiskScore,numeric
ClientTenureMonths,numeric
SatisfactionScore,numeric
UpsellFlag,numeric
PaymentDelayDays,numeric
DiscountRate,numeric
DiscountAmount,numeric
Year,numeric
Month,numeric
Quarter,numeric
Profitability_Score,numeric
Revenue_Score,numeric
Cashflow_Score,numeric
Payment_Score,numeric
Customer_Score,numeric
Operational_Score,numeric
Forecast_Score,numeric
Risk_Score,numeric
FinancialHealthScore,numeric
Rating,character
LendingRecommendation,character
