Variable,Outliers,Outlier_Percentage
InvoiceID,0,0
ClientID,0,0
ContractLengthMonths,0,0
Revenue,0,0
Expenses,0,0
Profit,113,0.06
ProfitMargin,0,0
BillingCycleMonths,0,0
MRR,19348,9.67
RetentionFlag,0,0
ChurnRiskScore,0,0
ClientTenureMonths,0,0
SatisfactionScore,0,0
UpsellFlag,0,0
PaymentDelayDays,0,0
DiscountRate,0,0
DiscountAmount,2122,1.06
Year,0,0
Month,0,0
Quarter,0,0
Profitability_Score,0,0
Revenue_Score,0,0
Cashflow_Score,19348,9.67
Payment_Score,0,0
Customer_Score,0,0
Operational_Score,0,0
Forecast_Score,0,0
Risk_Score,0,0
FinancialHealthScore,1144,0.57
